congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,party,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2,hasc
102,House,15001,49,25,TX,100,D,0,1,"ANDREWS, Michael Allen",A000209,1944,,-0.135,0.32,-238.77858,0.732,764,101,,-0.139,0.284,0
102,House,13002,49,7,TX,200,R,0,1,"ARCHER, William Reynolds, Jr.",A000215,1928,,0.496,0.2,-212.47108,0.753,750,113,,0.565,0.498,0
102,House,15125,49,26,TX,200,R,0,1,"ARMEY, Richard Keith",A000217,1940,,0.635,-0.089,-122.12127,0.851,759,41,,0.722,-0.041,0
102,House,15002,49,3,TX,200,R,0,1,"BARTLETT, Harry Stephen (Steve)",B000204,1947,,0.46,0.139,,,,,,0.342,0.303,0
102,House,15085,49,6,TX,200,R,0,1,"BARTON, Joe Linus",B000213,1949,,0.528,0.047,-218.856,0.73882,723,94,,0.528,0.224,0
102,House,1077,49,9,TX,100,D,0,1,"BROOKS, Jack Bascom",B000880,1922,2012,-0.407,0.725,-144.47723,0.82,726,56,,-0.386,0.654,0
102,House,15013,49,5,TX,100,D,0,1,"BRYANT, John Wiley",B000997,1947,,-0.358,0.135,-164.33293,0.796,722,74,,-0.326,0.212,0
102,House,15089,49,23,TX,100,D,0,1,"BUSTAMANTE, Albert G.",B001172,1935,2021,-0.392,0.667,-110.15904,0.851,682,35,,-0.386,0.503,1
102,House,15129,49,1,TX,100,D,0,1,"CHAPMAN, Jim",C000312,1945,,-0.198,0.657,-175.27275,0.78,707,72,,-0.232,0.77,0
102,House,15018,49,16,TX,100,D,0,1,"COLEMAN, Ronald D'Emory",C000621,1941,,-0.402,0.548,-153.71864,0.812,740,61,,-0.377,0.539,0
102,House,15093,49,19,TX,200,R,0,1,"COMBEST, Larry Ed",C000653,1945,,0.458,0.555,-201.69544,0.77,770,83,,0.459,0.588,0
102,House,10716,49,15,TX,100,D,0,1,"de la GARZA, Eligio, II (Kika)",D000203,1927,2017,-0.255,0.757,-169.47018,0.791,724,67,,-0.315,0.615,0
102,House,15094,49,22,TX,200,R,0,1,"DeLAY, Thomas Dale",D000217,1947,,0.593,0.059,-187.91566,0.776,742,84,,0.648,0.21,0
102,House,29144,49,11,TX,100,D,0,1,"EDWARDS, Thomas Chester (Chet)",E000063,1951,,-0.226,0.5,-195.86544,0.775,767,86,,-0.201,0.73,1
102,House,14822,49,8,TX,200,R,0,1,"FIELDS, Jack Milton, Jr.",F000111,1952,,0.541,-0.128,-161.91902,0.805,745,57,,0.552,0.032,0
102,House,14626,49,24,TX,100,D,0,1,"FROST, Jonas Martin",F000392,1942,,-0.316,0.354,-131.85593,0.833,722,62,,-0.324,0.428,0
102,House,15636,49,12,TX,100,D,0,1,"GEREN, Preston M. (Pete)",G000134,1952,,-0.032,0.729,-248.9901,0.721,760,132,,-0.019,0.696,0
102,House,10520,49,20,TX,100,D,0,1,"GONZÁLEZ, Henry B.",G000272,1916,2000,-0.538,0.558,-185.68342,0.788,779,74,,-0.614,0.595,0
102,House,14828,49,4,TX,100,D,0,1,"HALL, Ralph Moody",H000067,1923,2019,0.096,0.995,-257.1258,0.716,769,121,,0.102,0.995,0
102,House,29143,49,3,TX,200,R,0,2,"JOHNSON, Sam",J000174,1930,2020,0.61,0.277,-194.9898,0.75006,678,97,,0.528,0.403,0
102,House,15611,49,14,TX,100,D,0,1,"LAUGHLIN, Gregory H.",L000119,1942,,-0.097,0.858,-215.88479,0.742,722,110,,-0.131,0.991,0
102,House,15049,49,27,TX,100,D,0,1,"ORTIZ, Solomon P.",O000107,1937,,-0.272,0.712,-159.88664,0.806,740,68,,-0.294,0.801,1
102,House,10614,49,10,TX,100,D,0,1,"PICKLE, James Jarrell (Jake)",P000328,1913,2005,-0.218,0.523,-226.55623,0.737,744,111,,-0.229,0.42,0
102,House,15623,49,13,TX,100,D,0,1,"SARPALIUS, William",S000066,1948,,-0.078,0.997,-241.96377,0.729,765,120,,-0.065,0.998,0
102,House,15445,49,21,TX,200,R,0,1,"SMITH, Lamar Seeligson",S000583,1947,,0.425,0.061,-248.36266,0.71424,738,110,,0.378,-0.345,0
