Name,Position,Service,Off_Svc,Year,Nom_Rcvd,Nom_Conf,Nom_Lag,Congress,POTUS,P_Party,S_Party,Vote_Type,Vote_Simple,DYes,Dno,Dnv,Ryes,Rno,Rnv,Sen_Pres,Renomination,Notes
"Hyten, John E.",AFSC,USAF,USAF,2014,3/10/14,4/9/14,30,113,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Hyten, John E.",STRATCOM,DoD,USAF,2016,9/8/16,9/28/16,20,114,"Obama, Barrack",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Jacoby Jr, Charles H.",NORTHCOM,DoD,USA,2011,7/25/11,8/2/11,8,112,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Jamerson, James L.",EUCOM,DoD,USAF,1995,5/19/95,6/22/95,34,104,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Jamerson, James L.",USAFE,USAF,USAF,1994,6/8/94,7/15/94,37,103,"Clinton, Bill",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Johns, Raymond E., Jr.",AFAMC,USAF,USAF,2009,6/4/09,7/31/09,57,111,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Johnson, Gregory G.",NAVEUR,USN,USN,2001,9/10/01,9/26/01,16,107,"Bush, GW",Republican,Democrat,Voice,Voice/UC,,,,,,,0,,
"Johnson, Jay L.",CNO,USN,USN,1996,6/5/96,8/2/96,58,104,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Johnson, Jay L.",VCNO,USN,USN,1996,2/1/96,2/29/96,28,104,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Jones, James L.",CMC,USMC,USMC,1999,4/21/99,6/16/99,56,106,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Jones, James L.",EUCOM,DoD,USMC,2002,7/22/02,10/1/02,71,108,"Bush, GW",Republican,Republican,Voice,Voice/UC,,,,,,,1,,
