Name,Position,Service,Off_Svc,Year,Nom_Rcvd,Nom_Conf,Nom_Lag,Congress,POTUS,P_Party,S_Party,Vote_Type,Vote_Simple,DYes,Dno,Dnv,Ryes,Rno,Rnv,Sen_Pres,Renomination,Notes
"Ralston, Joseph",ACC,USAF,USAF,1995,4/6/95,5/25/95,49,104,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Ralston, Joseph",EUCOM,DoD,USAF,1999,10/13/99,10/29/99,16,106,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Ralston, Joseph",VCJCS,DoD,USAF,1996,12/18/95,1/26/96,39,104,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Ralston, Joseph",VCJCS,DoD,USAF,1998,1/28/98,2/5/98,8,105,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,1,
"Rand, Robin",AETC,USAF,USAF,2013,6/26/13,8/1/13,36,113,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Rand, Robin",AFGSC,USAF,USAF,2015,2/25/15,3/27/15,30,114,"Obama, Barrack",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Reason, J. Paul",LANTFLT,USN,USN,1996,5/14/96,6/20/96,37,104,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Renuart, Victor E., Jr.",NORTHCOM,DoD,USAF,2007,2/26/07,3/19/07,21,110,"Bush, GW",Republican,Democrat,Voice,Voice/UC,,,,,,,0,,
"Rice, Edward A., Jr.",AETC,USAF,USAF,2010,3/17/10,5/7/10,51,111,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Richardson, John M.",CNO,USN,USN,2015,6/4/15,8/5/15,62,114,"Obama, Barrack",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Richardson, John M.",NNPP,USN,USN,2012,7/11/12,7/26/12,15,112,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Robertson, Charles T., Jr.",TRANSCOM,DoD,USAF,1998,5/12/98,6/25/98,44,105,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Robinson, Lori J.",AFPAC,USAF,USAF,2014,7/14/14,7/23/14,9,113,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Robinson, Lori J.",NORTHCOM,DoD,USAF,2016,4/14/16,4/28/16,14,114,"Obama, Barrack",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Rodriguez, David M.",AFRICOM,DoD,USA,2013,11/13/12,3/5/13,112,113,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Rodriguez, David M.",FORSCOM,USA,USA,2011,4/8/11,4/14/11,6,112,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Rogers, Michael S.",CYBER,DoD,USN,2014,1/30/14,3/31/14,60,113,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Roughead, Gary",CNO,USN,USN,2007,8/2/07,9/28/07,57,110,"Bush, GW",Republican,Democrat,Voice,Voice/UC,,,,,,,0,,
"Roughead, Gary",FFC,USN,USN,2007,3/19/07,3/29/07,10,110,"Bush, GW",Republican,Democrat,Voice,Voice/UC,,,,,,,0,,
"Roughead, Gary",PACFLT,USN,USN,2005,3/8/05,5/26/05,79,109,"Bush, GW",Republican,Republican,Voice,Voice/UC,,,,,,,1,,
"Rutherford, Robert L.",TRANSCOM,DoD,USAF,1994,8/25/94,10/7/94,43,103,"Clinton, Bill",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Rutherford, Robert L.",AFPAC,USAF,USAF,1992,9/23/92,10/6/92,13,102,"Bush, GHW",Republican,Democrat,Unanimous Consent,Voice/UC,,,,,,,0,,
"Ryan, Michael E.",CSAF,USAF,USAF,1997,7/31/97,9/24/97,55,105,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Ryan, Michael E.",USAFE,USAF,USAF,1996,2/26/96,3/28/96,31,104,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Salomon, Leon E.",AAMC,USAF,USA,1994,10/7/93,11/20/93,44,103,"Clinton, Bill",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Scaparrotti, Curtis M.",EUCOM,DoD,USA,2016,3/14/16,4/28/16,45,114,"Obama, Barrack",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Scaparrotti, Curtis M.",USFK,DoD,USA,2013,5/20/13,8/1/13,73,113,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Schoomaker, Peter J.",CSA,USA ,USA,2003,6/16/03,7/31/03,45,108,"Bush, GW",Republican,Republican,Voice,Voice/UC,,,,,,,1,,
"Schoomaker, Peter J.",SOCOM,DoD,USA,1997,9/15/97,10/30/97,45,105,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Schwartz, Norton A.",CSAF,USAF,USAF,2008,7/10/08,8/1/08,22,110,"Bush, GW",Republican,Democrat,Voice,Voice/UC,,,,,,,0,,
"Schwartz, Norton A.",TRANSCOM,DoD,USAF,2005,6/14/05,7/29/05,45,109,"Bush, GW",Republican,Republican,Voice,Voice/UC,,,,,,,1,,
"Schwartz, Thomas A.",FORSCOM,USA,USA,1998,7/13/98,7/30/98,17,105,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Schwartz, Thomas A.",USFK,DoD,USA,1999,9/8/99,10/29/99,51,106,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Selva, Paul J.",AFAMC,USAF,USAF,2012,6/7/12,7/26/12,49,112,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Selva, Paul J.",TRANSCOM,DoD,USAF,2014,2/6/14,4/8/14,61,113,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Selva, Paul J.",VCJCS,DoD,USAF,2015,5/21/15,7/27/15,67,114,"Obama, Barrack",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Shalikashvili, John M.D.",CJCS,DoD,USA,1993,9/7/93,10/5/93,28,103,"Clinton, Bill",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Shalikashvili, John M.D.",CJCS,DoD,USA,1995,6/30/95,9/29/95,91,104,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,1,
"Shalikashvili, John M.D.",EUCOM,DoD,USA,1992,4/30/92,6/18/92,49,102,"Bush, GHW",Republican,Democrat,Unanimous Consent,Voice/UC,,,,,,,0,,
"Sharp, Walter L.",USFK,DoD,USA,2008,2/14/08,4/29/08,75,110,"Bush, GW",Republican,Democrat,Voice,Voice/UC,,,,,,,0,,
"Sheehan, John J.",LANTCOM,DoD,USMC,1994,9/12/94,10/7/94,25,103,"Clinton, Bill",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Shelton, H. Hugh",CJCS,DoD,USA,1997,7/29/97,9/16/97,49,105,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Shelton, H. Hugh",CJCS,DoD,USA,1999,5/20/99,9/24/99,127,106,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,1,
"Shelton, H. Hugh",SOCOM,DoD,USA,1996,12/18/95,2/1/96,45,104,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Shelton, William L.",AFSC,USAF,USAF,2010,9/13/10,9/29/10,16,112,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Shinseki, Eric K.",CSA,USA ,USA,1999,4/21/99,6/16/99,56,106,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Shinseki, Eric K.",USAREUR,USA,USA,1997,6/6/97,6/27/97,21,105,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Shinseki, Eric K.",VCSA,USA,USA,1998,9/14/98,9/25/98,11,105,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Smith, Lance L.",JFC,DoD,USAF,2005,10/19/05,10/28/05,9,109,"Bush, GW",Republican,Republican,Voice,Voice/UC,,,,,,,1,,
"Smith, Leighton W., Jr.",NAVEUR,USN,USN,1994,3/15/94,3/17/94,2,103,"Clinton, Bill",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Spencer, Larry O.",VCSAF,USAF,USAF,2012,5/10/12,5/24/12,14,112,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Stavridis, James G.",EUCOM,DoD,USN,2009,5/12/09,6/10/09,29,111,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Stavridis, James G.",SOUTHCOM,DoD,USN,2006,5/4/06,6/29/06,56,109,"Bush, GW",Republican,Republican,Voice,Voice/UC,,,,,,,1,,
"Swift, Scott H.",PACFLT,USN,USN,2014,11/19/14,12/11/14,22,114,"Obama, Barrack",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Thomas, Raymond A., III",SOCOM,DoD,USA,2016,2/22/16,3/17/16,24,114,"Obama, Barrack",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Thurman, James D.",FORSCOM,USA,USA,2010,2/24/10,3/19/10,23,111,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Thurman, James D.",USFK,DoD,USA,2011,5/4/11,6/30/11,57,112,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Tidd, Kurt W.",SOUTHCOM,DoD,USN,2015,10/28/15,12/16/15,49,114,"Obama, Barrack",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Tilelli, John H., Jr.",FORSCOM,USA,USA,1994,5/17/94,7/15/94,59,104,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Tilelli, John H., Jr.",USFK,DoD,USA,1996,3/28/96,6/28/96,92,104,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Tilelli, John H., Jr.",VCSA,USA,USA,1995,5/4/95,5/25/95,21,104,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Ulrich, Henry G., III",NAVEUR,USN,USN,2005,4/14/05,4/28/05,14,109,"Bush, GW",Republican,Republican,Voice,Voice/UC,,,,,,,1,,
"Via, Dennis L.",AAMC,USAF,USA,2012,1/31/12,4/26/12,86,112,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Viccellio, Henry, Jr.",AFMC,USAF,USAF,1995,2/8/95,4/3/95,54,104,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Viccellio, Henry, Jr.",AFTC,USAF,USAF,1992,9/24/92,10/6/92,12,102,"Bush, GHW",Republican,Democrat,Unanimous Consent,Voice/UC,,,,,,,0,,
"Votel, Joseph L.",CENTCOM,DoD,USA,2016,2/22/16,3/17/16,24,114,"Obama, Barrack",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Votel, Joseph L.",SOCOM,DoD,USA,2014,6/16/14,7/23/14,37,113,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Wald, Charles F.",EUCOM,DoD,USAF,2002,7/18/02,10/1/02,75,107,"Bush, GW",Republican,Democrat,Voice,Voice/UC,,,,,,,0,,
"Waldhauser, Thomas D.",AFRICOM,DoD,USMC,2016,4/26/16,6/29/16,64,114,"Obama, Barrack",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Wallace, William S.",TRADOC,USA,USA,2005,4/4/05,9/30/05,179,109,"Bush, GW",Republican,Republican,Voice,Voice/UC,,,,,,,1,,
"Walsh, Patrick M.",PACFLT,USN,USN,2009,4/20/09,5/7/09,17,111,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Walsh, Patrick M.",VCNO,USN,USN,2006,9/20/06,11/16/06,57,110,"Bush, GW",Republican,Democrat,Voice,Voice/UC,,,,,,,0,,
"Walters, Glenn M.",ACMC,USMC,USMC,2016,6/6/16,6/29/16,23,114,"Obama, Barrack",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Ward, William E.",AFRICOM,DoD,USA,2007,7/11/07,9/28/07,79,110,"Bush, GW",Republican,Democrat,Voice,Voice/UC,,,,,,,0,,
"Ward, William E.",DEUCOM,DoD,USA,2005,7/20/05,7/29/05,9,109,"Bush, GW",Republican,Republican,Voice,Voice/UC,,,,,,,1,,
"Welsh, Mark A., III",CSAF,USAF,USAF,2012,5/10/12,8/2/12,84,112,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Welsh, Mark A., III",USAFE,USAF,USAF,2009,9/30/09,10/28/09,28,111,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Wilhelm, Charles E.",SOUTHCOM,DoD,USMC,1997,7/21/97,9/23/97,64,105,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Willard, Robert F.",PACFLT,USN,USN,2007,3/19/07,3/29/07,10,110,"Bush, GW",Republican,Democrat,Voice,Voice/UC,,,,,,,0,,
"Willard, Robert F.",PACOM,DoD,USN,2009,6/1/09,7/31/09,60,111,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Willard, Robert F.",VCNO,USN,USN,2005,2/7/05,2/17/05,10,109,"Bush, GW",Republican,Republican,Voice,Voice/UC,,,,,,,1,,
"Willard, Robert F.",,,USN,2006,11/9/06,12/9/06,30,109,"Bush, GW",Republican,Republican,Voice,Voice/UC,,,,,,,1,,
"Williams, Michael J.",ACMC,USMC,USMC,2000,5/11/00,6/27/00,47,106,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Wilson, Johnnie E.",AAMC,USAF,USA,1996,2/1/96,2/29/96,28,104,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Wilson, Stephen W.",VCSAF,USAF,USAF,2016,6/16/16,6/29/16,13,114,"Obama, Barrack",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Winnefeld, James A, Jr.",NORTHCOM,DoD,USN,2010,1/20/10,5/7/10,107,111,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Winnefeld, James A, Jr.",VCJCS,DoD,USN,2011,6/6/11,8/2/11,57,112,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Winnefeld, James A, Jr.",VCJCS,DoD,USN,2013,6/24/13,8/1/13,38,113,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,1,
"Wolfenbarger, Janet C.",AFMC,USAF,USAF,2012,2/6/12,3/26/12,49,112,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Wolters, Tod D.",USAFE,USAF,USAF,2016,6/6/16,6/29/16,23,114,"Obama, Barrack",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Wright, Bruce A.",ACC,USAF,USAF,2004,9/7/04,10/6/04,29,108,"Bush, GW",Republican,Republican,Voice,Voice/UC,,,,,,,1,,
"Yates, Ronald W.",AFMC,USAF,USAF,1992,3/3/92,6/18/92,107,102,"Bush, GHW",Republican,Democrat,Voice,Voice/UC,,,,,,,0,,
"Zinni, Anthony C.",CENTCOM,DoD,USMC,1997,5/23/97,7/9/97,47,105,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Zlatoper, Ronald J.",PACFLT,USN,USN,1994,5/3/94,7/15/94,73,103,"Clinton, Bill",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Withdrawn,9,,,,,,,,,
,,,,,,,,,,,,No Vote,1,,,,,,,,,
,,,,,,,,,,,,Roll Call,5,,,,,,,,,
,,,,,,,,,,,,Voice/UC,352,,,,,,,,,
,,,,,,,,,,,,,367,,,,,,,,,
