congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
104,President,99909,99,0,USA,100,0,0,"CLINTON, William Jefferson (Bill)",,1946,,-0.438,0.033,-82.2916,0.776,324,34,,,
104,House,11000,41,4,AL,100,0,1,"BEVILL, Tom",B000431,1921,2005.0,-0.213,0.976,-368.06915,0.722,1129,152,,-0.196,0.719
104,House,15090,41,1,AL,200,0,1,"CALLAHAN, Herbert Leon (Sonny)",C000052,1932,2021.0,0.373,0.202,-159.83386,0.869,1139,67,,0.36,0.365
104,House,15632,41,3,AL,100,0,1,"BROWDER, John Glen",B000897,1943,,-0.165,0.826,-335.94095,0.743,1130,136,,-0.162,0.792
104,House,29100,41,5,AL,100,0,1,"CRAMER, Robert E. (Bud), Jr.",C000868,1947,,-0.132,0.612,-384.87664,0.718,1163,157,,-0.145,0.66
104,House,29300,41,2,AL,200,0,1,"EVERETT, Robert Terry",E000268,1937,2024.0,0.414,0.528,-182.00891,0.855,1164,78,,0.407,0.65
104,House,29301,41,6,AL,200,0,1,"BACHUS, Spencer T., III",B000013,1947,,0.387,0.228,-168.01838,0.865,1156,63,,0.373,0.114
104,House,29302,41,7,AL,100,0,1,"HILLIARD, Earl Frederick",H000621,1942,,-0.555,0.569,-313.02522,0.755,1116,137,,-0.563,0.555
104,House,14066,81,1,AK,200,0,1,"YOUNG, Donald Edwin",Y000033,1933,2022.0,0.283,0.022,-205.47811,0.82453,1065,77,,0.273,0.227
104,House,14454,61,3,AZ,200,0,1,"STUMP, Robert Lee",S001044,1927,2003.0,0.703,0.203,-174.08674,0.862,1174,71,,0.744,0.325
104,House,15105,61,5,AZ,200,0,1,"KOLBE, James Thomas",K000306,1942,2022.0,0.351,-0.534,-273.00951,0.791,1166,121,,0.365,-0.55
104,House,29101,61,2,AZ,100,0,1,"PASTOR, Ed",P000099,1943,2018.0,-0.421,0.12,-308.39102,0.766,1155,125,,-0.43,0.149
104,House,29500,61,1,AZ,200,0,1,"SALMON, Matthew James",S000018,1958,,0.673,-0.272,-183.69785,0.854,1165,69,,0.63,-0.23
104,House,29501,61,4,AZ,200,0,1,"SHADEGG, John B.",S000275,1949,,0.749,0.008,-182.32074,0.856,1170,71,,0.742,-0.009
104,House,29502,61,6,AZ,200,0,1,"HAYWORTH, John D., Jr.",H000413,1958,,0.559,-0.018,-155.27815,0.876,1174,62,,0.545,-0.104
104,House,14058,42,2,AR,100,0,1,"THORNTON, Raymond Hoyt (Ray), Jr.",T000243,1928,2016.0,-0.306,0.635,-374.27015,0.71,1092,166,,-0.293,0.425
104,House,29305,42,1,AR,100,0,1,"LINCOLN, Blanche Lambert",L000035,1960,,-0.166,0.178,-475.18329,0.611,966,227,,-0.167,0.203
104,House,29306,42,3,AR,200,0,1,"HUTCHINSON, Timothy",H001015,1949,,0.419,0.072,-183.95565,0.853,1159,74,,0.406,0.018
104,House,29307,42,4,AR,200,0,1,"DICKEY, Jay W., Jr.",D000312,1939,2017.0,0.391,0.22,-135.68612,0.885,1113,52,,0.413,0.266
104,House,10573,71,42,CA,100,0,1,"BROWN, George Edward, Jr.",B000918,1920,1999.0,-0.506,-0.028,-230.3467,0.808,1083,97,,-0.501,-0.03
104,House,13011,71,9,CA,100,0,1,"DELLUMS, Ronald V.",D000222,1935,2018.0,-0.644,-0.646,-141.41162,0.884,1148,58,,-0.661,-0.556
104,House,14040,71,27,CA,200,0,1,"MOORHEAD, Carlos John",M000926,1922,2011.0,0.465,-0.119,-136.16871,0.889,1157,51,,0.441,0.072
104,House,14053,71,13,CA,100,0,1,"STARK, Fortney Hillman (Pete), Jr.",S000810,1931,2020.0,-0.631,-0.605,-169.63105,0.851,1052,76,,-0.609,-0.745
104,House,14256,71,7,CA,100,0,1,"MILLER, George",M000725,1945,,-0.552,-0.398,-224.48596,0.817,1111,104,,-0.521,-0.448
104,House,14257,71,15,CA,100,0,1,"MINETA, Norman Y.",M000794,1931,2022.0,-0.479,-0.01,-132.44878,0.81,630,57,,-0.482,-0.111
104,House,14280,71,29,CA,100,0,1,"WAXMAN, Henry Arnold",W000215,1939,,-0.473,-0.343,-198.6052,0.832,1081,81,,-0.486,-0.51
104,House,14405,71,24,CA,100,0,1,"BEILENSON, Anthony Charles",B000318,1932,2017.0,-0.44,-0.605,-322.22108,0.758,1161,131,,-0.422,-0.834
104,House,14414,71,46,CA,200,0,1,"DORNAN, Robert Kenneth",D000435,1933,,0.49,-0.111,-158.12659,0.866,1101,57,,0.522,0.12
104,House,14620,71,32,CA,100,0,1,"DIXON, Julian Carey",D000373,1934,2000.0,-0.458,-0.076,-264.75063,0.794,1147,114,,-0.442,-0.023
104,House,14624,71,3,CA,100,0,1,"FAZIO, Victor Herbert, Jr.",F000053,1942,2022.0,-0.455,0.36,-324.83839,0.749,1126,153,,-0.42,0.439
104,House,14644,71,40,CA,200,0,1,"LEWIS, Charles Jeremy (Jerry)",L000274,1934,2021.0,0.348,-0.101,-236.8893,0.812,1135,94,,0.271,0.1
104,House,14649,71,5,CA,100,0,1,"MATSUI, Robert T.",M000249,1941,2005.0,-0.404,-0.03,-274.6543,0.786,1143,108,,-0.403,0.095
104,House,14669,71,21,CA,200,0,1,"THOMAS, William Marshall",T000188,1941,,0.371,-0.277,-235.27016,0.817,1164,101,,0.314,-0.235
104,House,14813,71,28,CA,200,0,1,"DREIER, David Timothy",D000492,1952,,0.478,-0.084,-116.46836,0.904,1160,38,,0.491,0.046
104,House,14835,71,52,CA,200,0,1,"HUNTER, Duncan Lee",H000981,1948,,0.47,0.02,-172.43389,0.857,1116,73,,0.441,0.407
104,House,14837,71,12,CA,100,0,1,"LANTOS, Thomas Peter",L000090,1928,2008.0,-0.376,-0.033,-213.54633,0.821,1082,71,,-0.424,-0.174
104,House,14879,71,31,CA,100,0,1,"MARTÍNEZ, Matthew G.",M000206,1929,2011.0,-0.341,0.106,-467.04271,0.649,1080,189,,-0.383,0.161
104,House,15005,71,26,CA,100,0,1,"BERMAN, Howard Lawrence",B000410,1941,,-0.404,-0.286,-241.96983,0.799,1080,91,,-0.405,-0.344
104,House,15051,71,48,CA,200,0,1,"PACKARD, Ronald C.",P000005,1931,,0.419,0.152,-169.80307,0.864,1159,75,,0.374,0.16
104,House,15070,71,34,CA,100,0,1,"TORRES, Esteban Edward",T000316,1930,2022.0,-0.487,0.012,-252.15535,0.793,1089,96,,-0.461,-0.067
104,House,15413,71,23,CA,200,0,1,"GALLEGLY, Elton W.",G000021,1944,,0.402,-0.1,-127.2439,0.891,1102,45,,0.377,-0.024
104,House,15420,71,2,CA,200,0,1,"HERGER, Walter William (Wally)",H000528,1945,,0.551,0.117,-150.55299,0.878,1154,54,,0.572,0.277
104,House,15448,71,8,CA,100,0,1,"PELOSI, Nancy",P000197,1940,,-0.489,-0.174,-200.97471,0.83493,1114,75,,-0.483,-0.395
104,House,15600,71,15,CA,200,0,2,"CAMPBELL, Thomas J.",C000100,1952,,0.256,-0.907,-191.05431,0.622,402,97,,0.313,-0.95
104,House,15601,71,47,CA,200,0,1,"COX, Charles Christopher",C000830,1952,,0.54,-0.236,-126.00894,0.893,1114,45,,0.617,-0.169
104,House,15621,71,45,CA,200,0,1,"ROHRABACHER, Dana",R000409,1947,,0.626,-0.417,-239.47801,0.81491,1170,98,,0.702,-0.439
104,House,15635,71,18,CA,100,0,1,"CONDIT, Gary Adrian",C000670,1948,,-0.103,0.3,-572.86275,0.607,1148,297,,-0.077,0.391
104,House,29103,71,1,CA,200,0,1,"RIGGS, Frank D.",R000252,1950,2023.0,0.333,-0.28,-225.16501,0.819,1128,101,,0.283,-0.131
104,House,29104,71,4,CA,200,0,1,"DOOLITTLE, John Taylor",D000429,1950,,0.519,0.156,-138.36312,0.888,1162,53,,0.573,0.358
104,House,29105,71,20,CA,100,0,1,"DOOLEY, Calvin M.",D000424,1954,,-0.19,0.103,-466.6077,0.663,1136,221,,-0.17,0.256
