congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
105,President,99909,99,0,USA,100,0,0,"CLINTON, William Jefferson (Bill)",,1946,,-0.438,0.033,-46.63111,0.774,182,20,,,
105,House,15090,41,1,AL,200,0,1,"CALLAHAN, Herbert Leon (Sonny)",C000052,1932,2021.0,0.373,0.202,-147.85898,0.85,907,58,,0.358,0.215
105,House,29100,41,5,AL,100,0,1,"CRAMER, Robert E. (Bud), Jr.",C000868,1947,,-0.132,0.612,-276.68973,0.744,935,118,,-0.123,0.56
105,House,29300,41,2,AL,200,0,1,"EVERETT, Robert Terry",E000268,1937,2024.0,0.414,0.528,-146.55103,0.855,939,52,,0.417,0.564
105,House,29301,41,6,AL,200,0,1,"BACHUS, Spencer T., III",B000013,1947,,0.387,0.228,-214.33865,0.796,939,83,,0.361,0.111
105,House,29302,41,7,AL,100,0,1,"HILLIARD, Earl Frederick",H000621,1942,,-0.555,0.569,-273.44606,0.733,879,121,,-0.529,0.386
105,House,29700,41,3,AL,200,0,1,"RILEY, Robert",R000258,1944,,0.433,0.692,-126.77845,0.866,880,50,,0.447,0.579
105,House,29701,41,4,AL,200,0,1,"ADERHOLT, Robert",A000055,1965,,0.405,0.467,-146.16078,0.85628,942,61,,0.406,0.56
105,House,14066,81,1,AK,200,0,1,"YOUNG, Donald Edwin",Y000033,1933,2022.0,0.283,0.022,-194.03671,0.77826,774,85,,0.319,0.187
105,House,14454,61,3,AZ,200,0,1,"STUMP, Robert Lee",S001044,1927,2003.0,0.703,0.203,-176.8264,0.829,945,76,,0.681,0.308
105,House,15105,61,5,AZ,200,0,1,"KOLBE, James Thomas",K000306,1942,2022.0,0.351,-0.534,-292.15627,0.73,928,130,,0.328,-0.627
105,House,29101,61,2,AZ,100,0,1,"PASTOR, Ed",P000099,1943,2018.0,-0.421,0.12,-300.1821,0.727,941,116,,-0.368,0.016
105,House,29500,61,1,AZ,200,0,1,"SALMON, Matthew James",S000018,1958,,0.673,-0.272,-220.20783,0.788,922,91,,0.729,-0.299
105,House,29501,61,4,AZ,200,0,1,"SHADEGG, John B.",S000275,1949,,0.749,0.008,-192.90188,0.813,931,68,,0.731,-0.026
105,House,29502,61,6,AZ,200,0,1,"HAYWORTH, John D., Jr.",H000413,1958,,0.559,-0.018,-161.79662,0.842,944,71,,0.52,-0.127
105,House,29307,42,4,AR,200,0,1,"DICKEY, Jay W., Jr.",D000312,1939,2017.0,0.391,0.22,-205.43657,0.8,923,80,,0.387,0.129
105,House,29702,42,1,AR,100,0,1,"BERRY, Robert Marion",B000420,1942,2023.0,-0.293,0.956,-367.33058,0.674,931,166,,-0.3,0.804
105,House,29703,42,2,AR,100,0,1,"SNYDER, Victor F.",S000672,1947,,-0.268,0.055,-273.15426,0.748,941,122,,-0.279,0.053
105,House,29704,42,3,AR,200,0,1,"HUTCHINSON, Asa",H001014,1950,,0.358,0.133,-194.43802,0.808,913,85,,0.355,0.032
105,House,10573,71,42,CA,100,0,1,"BROWN, George Edward, Jr.",B000918,1920,1999.0,-0.506,-0.028,-255.23315,0.751,892,124,,-0.524,0.027
105,House,13011,71,9,CA,100,1,1,"DELLUMS, Ronald V.",D000222,1935,2018.0,-0.644,-0.646,-102.79672,0.809,485,44,,-0.561,-0.785
105,House,14053,71,13,CA,100,0,1,"STARK, Fortney Hillman (Pete), Jr.",S000810,1931,2020.0,-0.631,-0.605,-185.09404,0.803,843,93,,-0.607,-0.61
105,House,14256,71,7,CA,100,0,1,"MILLER, George",M000725,1945,,-0.552,-0.398,-197.13848,0.797,869,94,,-0.628,-0.321
105,House,14280,71,29,CA,100,0,1,"WAXMAN, Henry Arnold",W000215,1939,,-0.473,-0.343,-173.01592,0.825,897,79,,-0.509,-0.43
105,House,14620,71,32,CA,100,0,1,"DIXON, Julian Carey",D000373,1934,2000.0,-0.458,-0.076,-213.80539,0.784,878,93,,-0.388,-0.239
105,House,14624,71,3,CA,100,0,1,"FAZIO, Victor Herbert, Jr.",F000053,1942,2022.0,-0.455,0.36,-284.32455,0.735,923,145,,-0.473,0.393
105,House,14644,71,40,CA,200,0,1,"LEWIS, Charles Jeremy (Jerry)",L000274,1934,2021.0,0.348,-0.101,-235.20126,0.774,916,102,,0.272,-0.064
105,House,14649,71,5,CA,100,0,1,"MATSUI, Robert T.",M000249,1941,2005.0,-0.404,-0.03,-215.60373,0.793,928,81,,-0.361,-0.101
105,House,14669,71,21,CA,200,0,1,"THOMAS, William Marshall",T000188,1941,,0.371,-0.277,-208.99002,0.799,933,92,,0.338,-0.268
105,House,14813,71,28,CA,200,0,1,"DREIER, David Timothy",D000492,1952,,0.478,-0.084,-184.90673,0.82,934,76,,0.423,0.023
105,House,14835,71,52,CA,200,0,1,"HUNTER, Duncan Lee",H000981,1948,,0.47,0.02,-184.52868,0.814,896,77,,0.493,0.275
105,House,14837,71,12,CA,100,0,1,"LANTOS, Thomas Peter",L000090,1928,2008.0,-0.376,-0.033,-179.03264,0.819,895,78,,-0.396,-0.195
105,House,14879,71,31,CA,100,0,1,"MARTÍNEZ, Matthew G.",M000206,1929,2011.0,-0.341,0.106,-361.61701,0.66,870,159,,-0.42,0.426
105,House,15005,71,26,CA,100,0,1,"BERMAN, Howard Lawrence",B000410,1941,,-0.404,-0.286,-204.9316,0.786,850,82,,-0.363,-0.429
105,House,15051,71,48,CA,200,0,1,"PACKARD, Ronald C.",P000005,1931,,0.419,0.152,-157.51418,0.844,928,61,,0.347,0.185
105,House,15070,71,34,CA,100,0,1,"TORRES, Esteban Edward",T000316,1930,2022.0,-0.487,0.012,-184.7534,0.798,818,74,,-0.525,-0.14
105,House,15413,71,23,CA,200,0,1,"GALLEGLY, Elton W.",G000021,1944,,0.402,-0.1,-164.68308,0.836,919,64,,0.315,0.012
105,House,15420,71,2,CA,200,0,1,"HERGER, Walter William (Wally)",H000528,1945,,0.551,0.117,-157.22309,0.841,905,63,,0.577,0.23
105,House,15448,71,8,CA,100,0,1,"PELOSI, Nancy",P000197,1940,,-0.489,-0.174,-168.77566,0.82744,891,66,,-0.545,-0.318
105,House,15600,71,15,CA,200,0,1,"CAMPBELL, Thomas J.",C000100,1952,,0.256,-0.907,-471.55309,0.607,944,210,,0.321,-0.947
105,House,15601,71,47,CA,200,0,1,"COX, Charles Christopher",C000830,1952,,0.54,-0.236,-181.94272,0.814,883,81,,0.574,-0.345
105,House,15621,71,45,CA,200,0,1,"ROHRABACHER, Dana",R000409,1947,,0.626,-0.417,-244.03143,0.77114,939,104,,0.732,-0.449
105,House,15635,71,18,CA,100,0,1,"CONDIT, Gary Adrian",C000670,1948,,-0.103,0.3,-460.96043,0.611,936,218,,-0.139,0.447
105,House,29103,71,1,CA,200,0,1,"RIGGS, Frank D.",R000252,1950,2023.0,0.333,-0.28,-176.69156,0.805,815,71,,0.372,-0.153
