congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
106,President,99909,99,0,USA,100,0,0,"CLINTON, William Jefferson (Bill)",,1946,,-0.438,0.033,-44.00832,0.743,148,17,,,
106,House,15090,41,1,AL,200,0,1,"CALLAHAN, Herbert Leon (Sonny)",C000052,1932,2021.0,0.373,0.202,-156.97696,0.83,842,61,,0.29,0.263
106,House,29100,41,5,AL,100,0,1,"CRAMER, Robert E. (Bud), Jr.",C000868,1947,,-0.132,0.612,-241.9535,0.755,861,102,,-0.124,0.54
106,House,29300,41,2,AL,200,0,1,"EVERETT, Robert Terry",E000268,1937,2024.0,0.414,0.528,-120.12012,0.866,834,43,,0.447,0.563
106,House,29301,41,6,AL,200,0,1,"BACHUS, Spencer T., III",B000013,1947,,0.387,0.228,-197.21883,0.796,863,83,,0.305,0.103
106,House,29302,41,7,AL,100,0,1,"HILLIARD, Earl Frederick",H000621,1942,,-0.555,0.569,-217.22676,0.773,845,83,,-0.575,0.651
106,House,29700,41,3,AL,200,0,1,"RILEY, Robert",R000258,1944,,0.433,0.692,-170.65206,0.818,848,73,,0.445,0.578
106,House,29701,41,4,AL,200,0,1,"ADERHOLT, Robert",A000055,1965,,0.405,0.467,-252.45995,0.74738,867,105,,0.38,0.845
106,House,14066,81,1,AK,200,0,1,"YOUNG, Donald Edwin",Y000033,1933,2022.0,0.283,0.022,-172.09791,0.79544,752,73,,0.295,0.181
106,House,14454,61,3,AZ,200,0,1,"STUMP, Robert Lee",S001044,1927,2003.0,0.703,0.203,-164.0391,0.829,872,61,,0.592,0.418
106,House,15105,61,5,AZ,200,0,1,"KOLBE, James Thomas",K000306,1942,2022.0,0.351,-0.534,-249.04748,0.746,849,128,,0.329,-0.451
106,House,29101,61,2,AZ,100,0,1,"PASTOR, Ed",P000099,1943,2018.0,-0.421,0.12,-242.76436,0.756,868,91,,-0.407,0.122
106,House,29500,61,1,AZ,200,0,1,"SALMON, Matthew James",S000018,1958,,0.673,-0.272,-194.71581,0.785,806,70,,0.652,-0.173
106,House,29501,61,4,AZ,200,0,1,"SHADEGG, John B.",S000275,1949,,0.749,0.008,-175.95062,0.813,852,61,,0.705,0.043
106,House,29502,61,6,AZ,200,0,1,"HAYWORTH, John D., Jr.",H000413,1958,,0.559,-0.018,-145.88973,0.845,864,57,,0.594,0.085
106,House,29307,42,4,AR,200,0,1,"DICKEY, Jay W., Jr.",D000312,1939,2017.0,0.391,0.22,-224.39934,0.761,822,91,,0.376,0.427
106,House,29702,42,1,AR,100,0,1,"BERRY, Robert Marion",B000420,1942,2023.0,-0.293,0.956,-332.4931,0.679,859,167,,-0.206,0.757
106,House,29703,42,2,AR,100,0,1,"SNYDER, Victor F.",S000672,1947,,-0.268,0.055,-207.9134,0.784,856,87,,-0.292,0.019
106,House,29704,42,3,AR,200,0,1,"HUTCHINSON, Asa",H001014,1950,,0.358,0.133,-199.59853,0.789,841,85,,0.39,0.109
106,House,10573,71,42,CA,100,1,1,"BROWN, George Edward, Jr.",B000918,1920,1999.0,-0.506,-0.028,-10.73244,0.81,51,7,,-0.47,0.491
106,House,14053,71,13,CA,100,0,1,"STARK, Fortney Hillman (Pete), Jr.",S000810,1931,2020.0,-0.631,-0.605,-208.21998,0.765,779,90,,-0.738,-0.609
106,House,14256,71,7,CA,100,0,1,"MILLER, George",M000725,1945,,-0.552,-0.398,-253.92442,0.739,838,115,,-0.641,-0.24
106,House,14280,71,29,CA,100,0,1,"WAXMAN, Henry Arnold",W000215,1939,,-0.473,-0.343,-132.07487,0.847,796,57,,-0.493,-0.518
106,House,14620,71,32,CA,100,0,1,"DIXON, Julian Carey",D000373,1934,2000.0,-0.458,-0.076,-146.94598,0.836,823,54,,-0.414,-0.167
106,House,14644,71,40,CA,200,0,1,"LEWIS, Charles Jeremy (Jerry)",L000274,1934,2021.0,0.348,-0.101,-220.42523,0.768,837,92,,0.256,0.025
106,House,14649,71,5,CA,100,0,1,"MATSUI, Robert T.",M000249,1941,2005.0,-0.404,-0.03,-142.45609,0.847,855,46,,-0.39,-0.149
106,House,14669,71,21,CA,200,0,1,"THOMAS, William Marshall",T000188,1941,,0.371,-0.277,-193.11265,0.792,826,78,,0.361,-0.131
106,House,14813,71,28,CA,200,0,1,"DREIER, David Timothy",D000492,1952,,0.478,-0.084,-181.19426,0.812,871,81,,0.406,-0.109
106,House,14835,71,52,CA,200,0,1,"HUNTER, Duncan Lee",H000981,1948,,0.47,0.02,-199.63546,0.789,844,91,,0.441,0.207
106,House,14837,71,12,CA,100,0,1,"LANTOS, Thomas Peter",L000090,1928,2008.0,-0.376,-0.033,-120.94912,0.858,789,36,,-0.418,-0.112
106,House,14879,71,31,CA,100,0,1,"MARTÍNEZ, Matthew G.",M000206,1929,2011.0,-0.341,0.106,-542.31634,0.436,654,177,,-0.143,0.01
106,House,15005,71,26,CA,100,0,1,"BERMAN, Howard Lawrence",B000410,1941,,-0.404,-0.286,-141.96593,0.837,798,56,,-0.411,-0.247
106,House,15051,71,48,CA,200,0,1,"PACKARD, Ronald C.",P000005,1931,,0.419,0.152,-154.17612,0.835,856,69,,0.379,0.125
106,House,15413,71,23,CA,200,0,1,"GALLEGLY, Elton W.",G000021,1944,,0.402,-0.1,-192.61502,0.799,857,87,,0.239,-0.091
106,House,15420,71,2,CA,200,0,1,"HERGER, Walter William (Wally)",H000528,1945,,0.551,0.117,-154.01616,0.834,851,72,,0.604,0.136
106,House,15448,71,8,CA,100,0,1,"PELOSI, Nancy",P000197,1940,,-0.489,-0.174,-157.86725,0.82773,835,63,,-0.498,-0.475
106,House,15600,71,15,CA,200,0,1,"CAMPBELL, Thomas J.",C000100,1952,,0.256,-0.907,-326.84535,0.596,631,142,,0.325,-0.946
106,House,15601,71,47,CA,200,0,1,"COX, Charles Christopher",C000830,1952,,0.54,-0.236,-170.97479,0.808,803,83,,0.6,-0.382
106,House,15621,71,45,CA,200,0,1,"ROHRABACHER, Dana",R000409,1947,,0.626,-0.417,-216.28486,0.77967,869,95,,0.716,-0.26
106,House,15635,71,18,CA,100,0,1,"CONDIT, Gary Adrian",C000670,1948,,-0.103,0.3,-440.11956,0.604,873,217,,-0.155,0.35
106,House,29104,71,4,CA,200,0,1,"DOOLITTLE, John Taylor",D000429,1950,,0.519,0.156,-195.69153,0.796,859,80,,0.61,0.171
106,House,29105,71,20,CA,100,0,1,"DOOLEY, Calvin M.",D000424,1954,,-0.19,0.103,-298.16068,0.701,840,132,,-0.237,0.048
106,House,29106,71,35,CA,100,0,1,"WATERS, Maxine",W000187,1938,,-0.656,-0.094,-176.39108,0.80729,824,80,,-0.731,-0.018
106,House,29107,71,51,CA,200,0,1,"CUNNINGHAM, Randall (Duke)",C000994,1941,2025.0,0.411,0.001,-146.97223,0.843,860,55,,0.421,0.071
106,House,29309,71,6,CA,100,0,1,"WOOLSEY, Lynn C.",W000738,1937,,-0.556,-0.529,-142.2608,0.847,858,55,,-0.515,-0.464
106,House,29311,71,11,CA,200,0,1,"POMBO, Richard William",P000419,1961,,0.461,0.469,-207.871,0.786,861,94,,0.591,0.354
106,House,29312,71,14,CA,100,0,1,"ESHOO, Anna Georges",E000215,1942,,-0.379,-0.372,-194.71373,0.7931,840,88,,-0.379,-0.716
106,House,29313,71,17,CA,100,0,1,"FARR, Sam",F000030,1941,,-0.455,-0.219,-156.20791,0.832,850,58,,-0.434,-0.284
106,House,29315,71,25,CA,200,0,1,"McKEON, Howard P. (Buck)",M000508,1938,,0.396,0.208,-136.7533,0.853,861,54,,0.369,0.108
106,House,29316,71,30,CA,100,0,1,"BECERRA, Xavier",B000287,1958,,-0.512,-0.283,-146.72845,0.8303,789,64,,-0.469,-0.215
106,House,29317,71,33,CA,100,0,1,"ROYBAL-ALLARD, Lucille",R000486,1941,,-0.469,-0.171,-148.03885,0.83877,842,54,,-0.473,-0.247
