congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
103,President,99909,99,0.0,USA,100,0,0,"CLINTON, William Jefferson (Bill)",,1946,,-0.438,0.033,-75.63745,0.786,314,42,,,
103,House,11000,41,4.0,AL,100,0,1,"BEVILL, Tom",B000431,1921,2005.0,-0.213,0.976,-188.84407,0.814,917,72,,-0.254,0.845
103,House,15090,41,1.0,AL,200,0,1,"CALLAHAN, Herbert Leon (Sonny)",C000052,1932,2021.0,0.373,0.202,-250.02016,0.763,926,118,,0.457,0.342
103,House,15632,41,3.0,AL,100,0,1,"BROWDER, John Glen",B000897,1943,,-0.165,0.826,-212.75516,0.799,948,88,,-0.169,0.846
103,House,29100,41,5.0,AL,100,0,1,"CRAMER, Robert E. (Bud), Jr.",C000868,1947,,-0.132,0.612,-226.08034,0.789,952,99,,-0.195,0.798
103,House,29300,41,2.0,AL,200,0,1,"EVERETT, Robert Terry",E000268,1937,2024.0,0.414,0.528,-252.86443,0.768,959,122,,0.381,0.423
103,House,29301,41,6.0,AL,200,0,1,"BACHUS, Spencer T., III",B000013,1947,,0.387,0.228,-220.67882,0.792,946,81,,0.472,0.059
103,House,29302,41,7.0,AL,100,0,1,"HILLIARD, Earl Frederick",H000621,1942,,-0.555,0.569,-185.88186,0.81,881,80,,-0.585,0.53
103,House,14066,81,1.0,AK,200,0,1,"YOUNG, Donald Edwin",Y000033,1933,2022.0,0.283,0.022,-351.08314,0.67611,897,139,,0.271,0.006
103,House,29401,93,1.0,AS,100,,,"FALEOMAVAEGA, Eni F. H.",F000010,1943,2017.0,,,,,,,,,
103,House,14454,61,3.0,AZ,200,0,1,"STUMP, Robert Lee",S001044,1927,2003.0,0.703,0.203,-106.20624,0.896,969,40,,0.784,0.185
103,House,15105,61,5.0,AZ,200,0,1,"KOLBE, James Thomas",K000306,1942,2022.0,0.351,-0.534,-325.02402,0.71,948,158,,0.302,-0.489
103,House,15429,61,4.0,AZ,200,0,1,"KYL, Jon Llewellyn",K000352,1942,,0.548,-0.413,-180.08259,0.82666,946,82,,0.455,-0.24
103,House,29101,61,2.0,AZ,100,0,1,"PASTOR, Ed",P000099,1943,2018.0,-0.421,0.12,-176.3125,0.832,958,78,,-0.428,0.13
103,House,29303,61,1.0,AZ,100,0,1,"COPPERSMITH, Samuel G.",C000767,1955,,-0.238,-0.448,-258.06165,0.763,954,101,,-0.235,-0.43
103,House,29304,61,6.0,AZ,100,0,1,"ENGLISH, Karan",E000186,1949,,-0.298,-0.253,-178.4115,0.829,949,76,,-0.296,-0.262
103,House,14058,42,2.0,AR,100,0,1,"THORNTON, Raymond Hoyt (Ray), Jr.",T000243,1928,2016.0,-0.306,0.635,-163.94137,0.839,935,55,,-0.323,0.502
